[2024-03-04 00:50:08,550] : Round: 1, Max accuracy: 0.00%, Current accuracy: 49.91%
[2024-03-04 00:50:10,420] : Round: 2, Max accuracy: 0.00%, Current accuracy: 50.06%
[2024-03-04 00:50:12,363] : Round: 3, Max accuracy: 0.00%, Current accuracy: 50.05%
[2024-03-04 00:50:28,483] : Round: 4, Max accuracy: 0.00%, Current accuracy: 50.04%
[2024-03-04 00:50:35,569] : Round: 5, Max accuracy: 0.00%, Current accuracy: 50.02%
[2024-03-04 00:50:37,692] : Round: 6, Max accuracy: 0.00%, Current accuracy: 50.05%
[2024-03-04 00:50:50,171] : Round: 7, Max accuracy: 0.00%, Current accuracy: 50.02%
[2024-03-04 00:50:56,655] : Round: 8, Max accuracy: 0.00%, Current accuracy: 50.00%
[2024-03-04 00:51:05,758] : Round: 9, Max accuracy: 0.00%, Current accuracy: 50.01%
[2024-03-04 00:51:15,397] : Round: 10, Max accuracy: 0.00%, Current accuracy: 50.01%
[2024-03-04 00:51:19,212] : Round: 11, Max accuracy: 0.00%, Current accuracy: 50.18%
[2024-03-04 00:51:33,526] : Round: 12, Max accuracy: 0.00%, Current accuracy: 50.19%
[2024-03-04 00:51:40,080] : Round: 13, Max accuracy: 0.00%, Current accuracy: 50.18%
[2024-03-04 00:51:41,990] : Round: 14, Max accuracy: 0.00%, Current accuracy: 50.18%
[2024-03-04 00:52:03,471] : Round: 15, Max accuracy: 0.00%, Current accuracy: 50.15%
[2024-03-04 00:52:05,988] : Round: 16, Max accuracy: 0.00%, Current accuracy: 53.23%
[2024-03-04 00:52:22,410] : Round: 17, Max accuracy: 0.00%, Current accuracy: 53.21%
[2024-03-04 00:52:31,406] : Round: 18, Max accuracy: 0.00%, Current accuracy: 53.66%
[2024-03-04 00:52:45,010] : Round: 19, Max accuracy: 0.00%, Current accuracy: 53.67%
[2024-03-04 00:52:47,198] : Round: 20, Max accuracy: 0.00%, Current accuracy: 53.74%
[2024-03-04 00:52:55,721] : Round: 21, Max accuracy: 0.00%, Current accuracy: 50.48%
[2024-03-04 00:53:06,585] : Round: 22, Max accuracy: 0.00%, Current accuracy: 50.48%
[2024-03-04 00:53:15,578] : Round: 23, Max accuracy: 0.00%, Current accuracy: 50.02%
[2024-03-04 00:53:26,954] : Round: 24, Max accuracy: 0.00%, Current accuracy: 50.00%
[2024-03-04 00:53:34,789] : Round: 25, Max accuracy: 0.00%, Current accuracy: 49.96%
[2024-03-04 00:53:38,219] : Round: 26, Max accuracy: 0.00%, Current accuracy: 49.95%
[2024-03-04 00:53:47,951] : Round: 27, Max accuracy: 0.00%, Current accuracy: 49.97%
[2024-03-04 00:53:55,764] : Round: 28, Max accuracy: 0.00%, Current accuracy: 49.96%
[2024-03-04 00:54:11,125] : Round: 29, Max accuracy: 0.00%, Current accuracy: 49.96%
[2024-03-04 00:54:13,026] : Round: 30, Max accuracy: 0.00%, Current accuracy: 50.03%
[2024-03-04 00:54:15,261] : Round: 31, Max accuracy: 0.00%, Current accuracy: 50.03%
[2024-03-04 00:54:35,158] : Round: 32, Max accuracy: 0.00%, Current accuracy: 49.99%
[2024-03-04 00:54:43,810] : Round: 33, Max accuracy: 0.00%, Current accuracy: 53.20%
[2024-03-04 00:54:45,729] : Round: 34, Max accuracy: 0.00%, Current accuracy: 53.22%
[2024-03-04 00:55:03,195] : Round: 35, Max accuracy: 0.00%, Current accuracy: 53.16%
[2024-03-04 00:55:14,875] : Round: 36, Max accuracy: 0.00%, Current accuracy: 53.29%
[2024-03-04 00:55:28,103] : Round: 37, Max accuracy: 0.00%, Current accuracy: 53.33%
[2024-03-04 00:55:34,294] : Round: 38, Max accuracy: 0.00%, Current accuracy: 50.65%
[2024-03-04 00:55:37,758] : Round: 39, Max accuracy: 0.00%, Current accuracy: 50.60%
[2024-03-04 00:55:49,421] : Round: 40, Max accuracy: 0.00%, Current accuracy: 50.61%
[2024-03-04 00:55:58,426] : Round: 41, Max accuracy: 0.00%, Current accuracy: 50.51%
[2024-03-04 00:56:14,117] : Round: 42, Max accuracy: 0.00%, Current accuracy: 50.51%
[2024-03-04 00:56:16,028] : Round: 43, Max accuracy: 0.00%, Current accuracy: 50.11%
[2024-03-04 00:56:27,346] : Round: 44, Max accuracy: 0.00%, Current accuracy: 51.57%
[2024-03-04 00:56:43,183] : Round: 45, Max accuracy: 0.00%, Current accuracy: 52.04%
[2024-03-04 00:56:47,581] : Round: 46, Max accuracy: 0.00%, Current accuracy: 52.63%
[2024-03-04 00:56:58,922] : Round: 47, Max accuracy: 0.00%, Current accuracy: 53.17%
[2024-03-04 00:57:05,575] : Round: 48, Max accuracy: 0.00%, Current accuracy: 53.16%
[2024-03-04 00:57:12,218] : Round: 49, Max accuracy: 0.00%, Current accuracy: 54.11%
[2024-03-04 00:57:18,994] : Round: 50, Max accuracy: 0.00%, Current accuracy: 53.61%
[2024-03-04 00:57:27,468] : Round: 51, Max accuracy: 0.00%, Current accuracy: 53.00%
